Order;City;Cantidad
1000001132009-01;Guayaquil;1
1000022754666-01;Santa Elena;1
1000031344086-01;Guayaquil;1
1000040144873-01;Guayaquil;1
1000082958518-01;Lago Agrio;1
1000113413952-01;Quito;2
1000140736270-01;Guayaquil;1
1000151522166-01;Ambato;1
1000161102923-01;Guayaquil;1
1000162866844-01;Quito;1
1000171124776-01;Duran;1
1000172190364-01;Ambato;1
1000182362599-01;Guayaquil;1
1000182827379-01;Santo Domingo;1
1000191840353-01;Guayaquil;1
1000192510527-01;Ambato;1
1000193380772-01;Machala;1
1000200802067-01;Quito;2
1000201671059-01;Guayaquil;2
1000210060365-01;Ambato;1
1000211591984-01;Santo Domingo;1
1000220973596-01;Quito;1
1000221671312-01;Guayaquil;1
1000223521514-01;Daule;5
1000240152225-01;Esmeraldas;1
1000240163718-01;Zaruma;1
1000240397410-01;Guayaquil;3
1000241520088-01;Esmeraldas;1
1000242004413-01;Atacames;3
1000242107109-01;Arenillas;1
1000272614269-01;Cuenca;3
1000281883690-01;Cuenca;1
1000282613978-01;Quito;1
1000292582499-01;Quito;1
1000301831239-01;Cuenca;16
1000331081632-01;Daule;4
1000331394737-01;Daule;4
1000361823604-01;Guayaquil;1
1000381753449-01;Daule;5
1000381964256-01;Milagro;1
1000382354537-01;Quito;1
1000383137554-01;Latacunga;1
1000392118938-01;Ambato;6
1000393217127-01;Guayaquil;1
1000393566654-01;Guayaquil;1
1000400054244-01;Babahoyo;4
1000401646456-01;Quito;1
1000402871627-01;Guayaquil;1
1000410137767-01;Milagro;1
1000411360812-01;Guayaquil;1
1000412449089-01;Quito;1
1000413041331-01;Guayaquil;1
1000420800144-01;Valencia;1
1000422978639-01;Babahoyo;1
1000430451358-01;Guayaquil;2
1000431288885-01;Guayaquil;1
1000431724818-01;Guayaquil;1
1000440854234-01;Guayaquil;2
1000450363268-01;Guayaquil;11
1000452253633-01;Guayaquil;1
1000452636324-01;Daule;1
1000453419721-01;Quito;1
1000460536278-01;Guayaquil;2
1000461201964-01;Riobamba;1
1000461420421-01;Quito;1
1000462297177-01;Guayaquil;1
1000470938398-01;Quito;1
1000471072375-01;Guayaquil;1
1000472819566-01;Guayaquil;7
1000472945759-01;Quito;1
1000473522373-01;Quito;1
1000482495386-01;Guayaquil;3
1000483550311-01;Daule;1
1000490126799-01;Guayaquil;1
1000491066807-01;Guayaquil;1
1000493289312-01;Lago Agrio;1
1000500068341-01;Machala;1
1000500497313-01;Quito;1
1000510244216-01;Quito;1
1000511303058-01;Cayambe;3
1000511431350-01;Guayaquil;1
1000513429746-01;Guayaquil;1
1000520303199-01;Portoviejo;1
1000522243363-01;Guayaquil;1
1000532016684-01;Guayaquil;1
1000532516620-01;Guaranda;1
1000542666211-01;Pasaje;1
1000592106078-01;Riobamba;2
1000593588855-01;Esmeraldas;1
1000610774672-01;Pajan;1
1000611668824-01;Guayaquil;1
1000613218240-01;Guayaquil;1
1000613477185-01;Guayaquil;50
1000620108209-01;El Carmen;1
1000622326026-01;Rocafuerte;3
1000631294694-01;Lago Agrio;1
1000632956179-01;Isidro Ayora;2
1000640190552-01;Ambato;1
1000640833550-01;Lago Agrio;1
1000641061781-01;Santo Domingo;1
1000641322805-01;Quito;2
1000642849907-01;Ambato;1
1000651056904-01;Daule;1
1000660177879-01;Salinas;6
1000660573464-01;Quito;1
1000661868984-01;Daule;1
1000662435026-01;Santa Rosa;1
1000670977368-01;Nobol;2
1000671686583-01;Guayaquil;1
1000672160984-01;Daule;1
1000672496622-01;Piñas;13
1000673277284-01;Guayaquil;2
1000681906800-01;Guayaquil;1
1000683000539-01;Macas;1
1000683576876-01;Quito;1
1000690381517-01;Guayaquil;31
1000690477154-01;Guayaquil;1
1000690662351-01;Portoviejo;1
1000690967987-01;Santa Elena;1
1000690970488-01;Guayaquil;1
1000691165093-01;Cuenca;1
1000691930082-01;Santo Domingo;1
1000692982646-01;Guayaquil;1
1000693015711-01;Quito;1
1000693269748-01;Quevedo;1
1000693570811-01;Quito;1
1000700482477-01;Puyo;7
1000700707534-01;Guayaquil;1
1000701567385-01;Milagro;1
1000702699384-01;Portoviejo;2
1000711257025-01;Guayaquil;1
1000711978221-01;Samborondon;1
1000712052180-01;Milagro;1
1000712480703-01;Daule;1
1000713549102-01;Quito;1
1000720683107-01;Guayaquil;1
1000721745547-01;Ventanas;1
1000733034081-01;Guayaquil;15
1000740530760-01;Guayaquil;1
1000741820253-01;Ambato;1
1000750449733-01;Quito;1
1000751799590-01;Vinces;2
1000752671804-01;Riobamba;1
1000762595809-01;Guayaquil;1
1000770051133-01;Guayaquil;1
1000770529621-01;Atacames;1
1000770714931-01;Guayaquil;1
1000772409176-01;Guayaquil;1
1000780278289-01;Guayaquil;16
1000782856208-01;Daule;21
1000791454314-01;Guayaquil;1
1000830543922-01;Palestina;1
1000860365625-01;Quito;2
1000862066509-01;Guayaquil;1
1000862396766-01;Guayaquil;1
1000871026457-01;Guayaquil;1
1000872010870-01;Daule;1
1000883411117-01;Quito;1
1000890082263-01;Quito;1
1000892958969-01;La Libertad;3
1000901321719-01;Manta;2
1000903036206-01;Tulcan;1
1000911919159-01;Santa Cruz;1
1000912135997-01;Guayaquil;21
1000912144925-01;Pichincha;1
1000920091329-01;Catamayo;2
1000920819888-01;Quito;2
1000922107403-01;Macas;1
1000923329613-01;Guayaquil;1
1000930680148-01;Quito;6
1000930818066-01;Esmeraldas;2
1000933035683-01;Quito;1
1000940025788-01;La Concordia;1
1000940259273-01;Quito;1
1000940598578-01;Quito;3
1000941662772-01;Vinces;1
1000942028363-01;Guayaquil;1
1000943203950-01;Quito;1
1000950874452-01;Guayaquil;1
1000951204853-01;Daule;1
1000951437753-01;Manta;8
1000952048810-01;Quito;1
1000953061356-01;Machala;1
1000953172611-01;Naranjal;9
1000953506635-01;Guayaquil;6
1000960275137-01;San Vicente;1
1000961127437-01;Daule;1
1000961538888-01;Guayaquil;1
1000962150881-01;Yacuambi;2
1000962470545-01;Latacunga;1
1000962969810-01;Ruminahui;1
1000971703316-01;Loja;5
1000973171914-01;Guayaquil;1
1000980548267-01;Ambato;1
1000980754445-01;Santa Elena;1
1000981155199-01;Guayaquil;1
1000990551361-01;Guayaquil;2
1000992113389-01;La Libertad;27
1000992275621-01;Salcedo;1
1000993526598-01;Daule;1
1001010533715-01;Guayaquil;3
1001022881337-01;Quito;1
1001032640827-01;Milagro;4
1001050233019-01;Quito;8
1001081500606-01;Lago Agrio;1
1001091224305-01;Macas;1
1001091490296-01;Quito;1
1001102382382-01;Ambato;3
1001130391903-01;Ambato;2
1001131703090-01;Quito;3
1001132761840-01;Buena Fe;20
1001133108729-01;Quito;1
1001141906576-01;Quito;1
1001151606601-01;Guayaquil;4
1001152111350-01;Cuenca;1
1001152240934-01;Quito;1
1001152906022-01;Quito;3
1001160336208-01;Loreto;2
1001170140841-01;Guayaquil;1
1001172388565-01;Santa Rosa;1
1001180526106-01;La Libertad;1
1001180617774-01;Quito;1
1001182222732-01;Guayaquil;4
1001182799355-01;Manta;1
1001183046600-01;Celica;1
1001183254620-01;Camilo Ponce Enriquez;1
1001183301673-01;Guayaquil;1
1001190194121-01;Santa Rosa;1
1001191989126-01;Pasaje;1
1001192339423-01;Tena;1
1001193528187-01;Manta;2
1001200562342-01;Guayaquil;39
1001202898207-01;Guayaquil;1
1001203523865-01;Guayaquil;1
1001212273313-01;Quito;2
1001212798502-01;Guayaquil;19
1001230670645-01;Cuenca;1
1001233032508-01;Cuenca;7
1001242499041-01;Guayaquil;1
1001251311978-01;Quito;1
1001321907372-01;Sucre;1
1001330352855-01;Santa Lucia;1
1001333492085-01;Guayaquil;1
1001341544923-01;Quito;1
1001360670504-01;Quito;1
1001362317676-01;Guayaquil;1
1001362608469-01;Quito;1
1001370250695-01;Quito;1
1001370365350-01;Guayaquil;1
1001371032167-01;Tulcan;1
1001373163181-01;Quito;18
1001380815464-01;Guayaquil;1
1001382958953-01;Atacames;1
1001383204302-01;Guayaquil;1
1001390487093-01;Guayaquil;12
1001391372900-01;Guayaquil;1
1001391784176-01;Guayaquil;1
1001392121304-01;Santa Rosa;1
1001400392952-01;Quito;1
1001400682158-01;Quito;1
1001402519670-01;Guayaquil;5
1001403331763-01;La Libertad;3
1001410001119-01;Quito;1
1001411318376-01;Valencia;1
1001413133011-01;Esmeraldas;1
1001430476369-01;Guayaquil;1
1001432352111-01;El Guabo;1
1001432668795-01;Quito;1
1001440863635-01;Guayaquil;2
1001443232908-01;Quito;1
1001443553342-01;Quito;1
1001443591181-01;Quito;1
1001450083746-01;Macas;3
1001451709996-01;Quito;5
1001460019429-01;Guayaquil;1
1001460348831-01;Esmeraldas;3
1001462382761-01;Guayaquil;1
1001470181934-01;Guayaquil;2
1001470589149-01;Quito;1
1001471535739-01;Guayaquil;1
1001471768892-01;Quito;22
1001480940912-01;Guayaquil;1
